spanish,english,domain,collocations
la cláusula,clause,legal,incluir una cláusula; redactar una cláusula; anular una cláusula; estipular una cláusula
la indemnización,compensation,legal,reclamar una indemnización; recibir una indemnización; pagar una indemnización; fijar una indemnización
el litigio,litigation/dispute,legal,resolver un litigio; evitar un litigio; ganar un litigio; iniciar un litigio
el aval,guarantee/collateral,money,solicitar un aval; presentar un aval; exigir un aval; conceder un aval
la solvencia,solvency,money,demostrar solvencia; comprobar solvencia; mantener la solvencia; carecer de solvencia
la plusvalía,capital gain,money,generar plusvalía; obtener plusvalía; calcular plusvalía; gravar la plusvalía
el activo,asset,money,valorar un activo; liquidar un activo; gestionar un activo; comprar un activo
la auditoría,audit,admin,realizar una auditoría; superar una auditoría; encargar una auditoría; aprobar una auditoría
el borrador,draft,admin,preparar un borrador; corregir un borrador; finalizar un borrador; revisar un borrador
la normativa,regulations,admin,cumplir la normativa; infringir la normativa; aplicar la normativa; actualizar la normativa
el acta,minutes/official record,admin,levantar acta; firmar el acta; leer el acta; archivar el acta
la vacante,vacancy,work,cubrir una vacante; anunciar una vacante; solicitar una vacante; ocupar una vacante
el finiquito,severance pay,work,firmar el finiquito; calcular el finiquito; recibir el finiquito; tramitar el finiquito
la excedencia,leave of absence,work,pedir una excedencia; disfrutar una excedencia; solicitar una excedencia; conceder una excedencia
el protocolo,protocol,safety,seguir el protocolo; establecer un protocolo; violar el protocolo; diseñar un protocolo
el riesgo laboral,occupational hazard,safety,prevenir el riesgo laboral; evaluar el riesgo laboral; reducir el riesgo laboral; evitar el riesgo laboral
el siniestro,accident/claim,safety,notificar un siniestro; cubrir un siniestro; investigar un siniestro; indemnizar un siniestro
la negligencia,negligence,safety,cometer una negligencia; denunciar una negligencia; evitar una negligencia; probar una negligencia
el cortocircuito,short circuit,repairs,provocar un cortocircuito; sufrir un cortocircuito; reparar un cortocircuito; evitar un cortocircuito
la humedad,damp/humidity,repairs,detectar humedad; eliminar la humedad; aislar la humedad; sufrir humedad
la gotera,leak,repairs,reparar una gotera; tapar una gotera; evitar una gotera; sufrir una gotera
la partida,item/entry,money,asignar una partida; gastar una partida; revisar una partida; incluir una partida
la morosidad,delinquency,money,combatir la morosidad; reducir la morosidad; evitar la morosidad; controlar la morosidad
la plantilla,staff/workforce,work,reducir la plantilla; ampliar la plantilla; gestionar la plantilla; formar la plantilla
el expediente,file/dossier,admin,abrir un expediente; cerrar un expediente; tramitar un expediente; archivar un expediente
la instancia,application/request,admin,presentar una instancia; rellenar una instancia; tramitar una instancia; denegar una instancia
el gravamen,tax/levy,money,aplicar un gravamen; suprimir un gravamen; eludir un gravamen; pagar un gravamen
la fiscalidad,tax system,money,revisar la fiscalidad; optimizar la fiscalidad; entender la fiscalidad; aplicar la fiscalidad
la jurisdicción,jurisdiction,legal,caer bajo jurisdicción; ampliar la jurisdicción; limitar la jurisdicción; definir la jurisdicción
el peritaje,expert assessment,legal,solicitar un peritaje; realizar un peritaje; impugnar un peritaje; presentar un peritaje
la demanda,lawsuit,legal,presentar una demanda; retirar una demanda; ganar una demanda; desestimar una demanda
el veredicto,verdict,legal,emitir un veredicto; acatar un veredicto; anunciar un veredicto; cuestionar un veredicto
la evacuación,evacuation,safety,ordenar una evacuación; realizar una evacuación; facilitar una evacuación; completar una evacuación
el material inflamable,flammable material,safety,almacenar material inflamable; manipular material inflamable; retirar material inflamable; detectar material inflamable
la vía de escape,escape route,safety,bloquear la vía de escape; señalizar la vía de escape; despejar la vía de escape; utilizar la vía de escape
la brecha,gap/breach,tech,detectar una brecha; cerrar una brecha; sufrir una brecha; proteger contra una brecha
el cifrado,encryption,tech,aplicar el cifrado; romper el cifrado; reforzar el cifrado; verificar el cifrado
la vulnerabilidad,vulnerability,tech,explotar una vulnerabilidad; corregir una vulnerabilidad; descubrir una vulnerabilidad; analizar una vulnerabilidad
el ancho de banda,bandwidth,tech,consumir ancho de banda; ampliar el ancho de banda; limitar el ancho de banda; optimizar el ancho de banda
el despliegue,deployment,tech,realizar el despliegue; planificar el despliegue; acelerar el despliegue; completar el despliegue
la interfaz,interface,tech,diseñar la interfaz; mejorar la interfaz; simplificar la interfaz; probar la interfaz
la nómina,payroll,work,gestionar la nómina; procesar la nómina; pagar la nómina; auditar la nómina
el incentivo,incentive,work,ofrecer un incentivo; recibir un incentivo; eliminar un incentivo; crear un incentivo
la retención,withholding,money,aplicar una retención; calcular la retención; evitar la retención; deducir la retención
el apalancamiento,leverage,money,utilizar el apalancamiento; reducir el apalancamiento; controlar el apalancamiento; aumentar el apalancamiento
el flujo de caja,cash flow,money,mejorar el flujo de caja; controlar el flujo de caja; analizar el flujo de caja; gestionar el flujo de caja
la amortización,amortization,money,calcular la amortización; pagar la amortización; aplazar la amortización; completar la amortización
el formulario,form,admin,rellenar un formulario; enviar un formulario; tramitar un formulario; descargar un formulario
el trámite,procedure,admin,agilizar un trámite; completar un trámite; iniciar un trámite; simplificar un trámite
el certificado,certificate,admin,expedir un certificado; obtener un certificado; falsificar un certificado; validar un certificado
la vigencia,validity,admin,prorrogar la vigencia; comprobar la vigencia; perder la vigencia; mantener la vigencia
el recurso,appeal/resource,legal,presentar un recurso; desestimar un recurso; admitir un recurso; ganar un recurso
la sentencia,ruling,legal,dictar sentencia; cumplir la sentencia; recurrir la sentencia; acatar la sentencia
la mediación,mediation,legal,buscar una mediación; aceptar la mediación; facilitar la mediación; proponer la mediación
la responsabilidad,liability,legal,asumir la responsabilidad; eludir la responsabilidad; limitar la responsabilidad; probar la responsabilidad
la inspección,inspection,safety,pasar una inspección; realizar una inspección; superar una inspección; evitar una inspección
el equipo de protección,protective gear,safety,utilizar equipo de protección; exigir equipo de protección; revisar equipo de protección; homologar equipo de protección
la señalización,signage,safety,instalar la señalización; mejorar la señalización; ignorar la señalización; renovar la señalización
la prevención,prevention,safety,fomentar la prevención; aplicar la prevención; mejorar la prevención; garantizar la prevención
el mantenimiento,maintenance,repairs,realizar el mantenimiento; descuidar el mantenimiento; planificar el mantenimiento; contratar el mantenimiento
la avería,breakdown,repairs,sufrir una avería; reparar una avería; detectar una avería; notificar una avería
la reforma,renovation,repairs,planificar una reforma; financiar una reforma; realizar una reforma; supervisar una reforma
el aislamiento,insulation,repairs,reforzar el aislamiento; mejorar el aislamiento; instalar el aislamiento; comprobar el aislamiento
la infraestructura,infrastructure,work,desarrollar la infraestructura; mejorar la infraestructura; financiar la infraestructura; evaluar la infraestructura
el puesto,position,work,desempeñar el puesto; abandonar el puesto; solicitar el puesto; cubrir el puesto
la jornada,workday,work,reducir la jornada; ampliar la jornada; cumplir la jornada; controlar la jornada
el ascenso,promotion,work,conseguir un ascenso; merecer un ascenso; proponer un ascenso; rechazar un ascenso
la productividad,productivity,work,aumentar la productividad; medir la productividad; caer la productividad; optimizar la productividad
el despido,dismissal,work,notificar un despido; impugnar un despido; evitar un despido; tramitar un despido
el entorno,environment,work,mejorar el entorno; adaptar el entorno; evaluar el entorno; gestionar el entorno
el margen,margin,money,aumentar el margen; reducir el margen; calcular el margen; asegurar el margen
el dividendo,dividend,money,repartir el dividendo; cobrar el dividendo; reducir el dividendo; reinvertir el dividendo
la acción,share,money,comprar una acción; vender una acción; cotizar una acción; valorar una acción
el interés,interest rate,money,subir el interés; bajar el interés; pagar el interés; devengar el interés
